name,year,selling_price,km_driven,mileage,engine,max_power,torque,seats,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,vehicle_age,price_per_km
Maruti Swift Dzire VDI,2014,-0.23352880078691848,1.3383625536597623,1.0032136345130291,-0.41130486649936043,-0.481014963481256,0.2635188778797285,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0484641877142254,-0.023711111959770395
Skoda Rapid 1.5 TDI Ambition,2014,-0.33275929254778175,0.8874108553930357,0.4357343125393296,0.09053581239973502,0.35164026770916756,0.8646460507453793,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.0484641877142254,-0.023715184597173682
Honda City 2017-2020 EXi,2006,-0.5957200957140694,1.2410984618767429,-0.42803952267727596,0.08852844968413864,-0.3681890513958327,-1.5128119179382697,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.9297751983057336,-0.024557606999473593
Hyundai i20 Sportz Diesel,2010,-0.5126145588643464,1.0112015176623332,0.902774816464587,-0.11421518459109592,-0.02971131513956293,-1.4156296916583226,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9406555052957541,-0.0242804649195855
Maruti Swift VXI BSIII,2007,-0.6304507678303715,0.8874108553930357,-0.8297947948710453,-0.3109367307195413,-0.08048297557800331,-1.5248344613955827,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.682495275053239,-0.024577102767614514
Hyundai Xcent 1.2 VTVT E Plus,2017,-0.2459326122570264,-0.43891766892086614,0.18463726741822342,-0.5136803649947759,-0.25931204623339926,-0.5004135709703694,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7903039574717101,-0.020830152943337003
Maruti Wagon R LXI DUO BSIII,2007,-0.6726237268287384,1.8600517732232305,-0.5284783407257181,-0.7866816943158839,-0.946421850833627,-1.5619039703889643,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.682495275053239,-0.024807563268901434
Maruti 800 DX BSII,2001,-0.7358831653262887,-1.1462928818882805,-0.8297947948710453,-1.318632813948925,-1.524654650271421,-1.0489421162102757,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.1661748145682083,-0.021165343342952884
Toyota Etios VXD,2011,-0.35756691548799757,0.356879445667475,1.0509220730860396,-0.17845079149018014,-0.6756396618286112,0.06314315359117821,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6933755820432592,-0.023368023111857237
Ford Figo Diesel Celebration Edition,2013,-0.5436240875396161,1.7539454912781183,0.14948368110126842,-0.10819309644430677,-0.6474331838072555,-0.03704470855309691,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19881573553826948,-0.024533964358196495
Renault Duster 110PS Diesel RxL,2014,-0.17150974343637895,-0.03217692146460292,-0.09910239356862632,0.016263391922668895,0.49069820435445194,0.8446084783165242,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.0484641877142254,-0.021875158306845336
Maruti Zen LX,2005,-0.6775852514167815,0.5337232489093285,-0.5284783407257181,-0.9231823589764377,-0.8759056557802374,-0.858585178136153,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.1770551215582286,-0.02464749275153385
Maruti Swift Dzire VDi,2009,-0.4443935957787529,1.2410984618767429,-0.026284250483505738,-0.41130486649936043,-0.4838356112833914,0.2635188778797285,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.187935428548249,-0.0241820569394958
Maruti Swift 1.3 VXi,2007,-0.5436240875396161,0.18003564242562137,-0.12672306853194876,-0.41130486649936043,-0.481014963481256,-1.640050502861499,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.682495275053239,-0.023966577396885593
Maruti Wagon R LXI Minor,2009,-0.568431710479832,0.356879445667475,-0.12672306853194876,-0.7866816943158839,-0.6784603096307467,-0.7984724608495879,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.187935428548249,-0.0241820569394958
Mahindra KUV 100 mFALCON G80 K8 5str,2016,-0.29554785813745804,-0.5273395705417929,-0.3150458523727784,-0.5116730022791796,-0.25536313931040944,-0.487890088202335,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5430240342192152,-0.02073438425773247
Maruti Ertiga SHVS VDI,2016,0.17331621543262085,0.003191839183767794,1.2844423250486683,-0.41130486649936043,-0.07202103217159665,0.3637067400240036,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.5430240342192152,-0.02025417270562972
